mu,kappa,theta,sigma,rho,lambda,mu_j,sig_j
-0.05252969652813156,0.25352120696027236,0.02437116864403435,0.010469149409261436,-0.13777436923955777,5.731087838894807e-125,-0.31079271787566454,3.162277660168379e-08
-0.3180176172137047,3.4120140085697157,0.03849480754724853,0.01034548586558602,-0.17025425379067327,0.9999999999999998,-0.3107927134476666,3.162277660168379e-08
-0.5920381736565887,1e-06,1e-06,0.010466827883169506,-0.13320309399746386,5.312996960723541e-147,-0.3107927125634672,3.162277660168379e-08
-0.27949336962266325,1e-06,0.03630844670540463,0.01133658515437232,-0.21010121402966261,1.0,-0.310792704646929,3.162277660168379e-08
-0.45616037524193115,2.7558992666833704,0.038430769535444026,0.010965150517326033,-0.06545038458533192,2.749271346749573e-147,-0.31079270248586144,3.162277660168379e-08
-0.6296192978464517,0.6678014850582605,0.036187456530623066,0.009955255674501768,-0.08209964460048291,1.0,-0.3107927075428086,3.162277660168379e-08
-0.5284109257276114,2.5971545287585216,0.03684867051137707,0.011580287974847826,-0.09063092975034892,2.5912783918555206e-149,-0.3107927082780878,3.162277660168379e-08
-0.5770157063363633,0.8099791399694065,0.040946558923158884,0.01060417248792456,-0.16645525450275367,1.0,-0.3107927139174237,3.162277660168379e-08
-0.2575618470997276,1e-06,0.014124160214419682,0.010934213487433321,-0.11265273130675713,1.5580263706910313e-142,-0.3107927170360722,3.162277660168379e-08
-0.38712808980183855,0.1213172148619477,0.07680572215290954,0.010982895729989577,-0.1467982731348755,1.0,-0.3107927147800082,3.162277660168379e-08
-0.44728956409719006,1e-06,0.019565273513377585,0.013655348794312131,-0.1241219944140968,3.0826034900176476e-126,-0.3107927133469089,3.162277660168379e-08
-0.7021010622055183,1.8787397115970685,0.04189382752538251,0.012088048997648234,-0.2630445807579087,0.9999999999999999,-0.3107927260923832,3.162277660168379e-08
-0.5717344176908421,1.3701355051219923,0.038791950735471085,0.010884240282796057,-0.1934969739079384,2.7491299600732453e-128,-0.31079272881063175,3.162277660168379e-08
